"Location ID","Location Name","Location Name (Spanish)",Address,"Address Line 2",City,State,Zip
228,"Butterfield Elementary",,"3400 W. Massingale",,Tucson,AZ,85741
545,"Cactus View Elementary School",,"17602 N. Central",,Phoenix,AZ,85022
89,"Cactus Wren Elementary School",,"9650 N. 39th Ave",,Phoenix,AZ,85032
1072,"Camelback Bible Church",,"3900 E Stanford Dr",,"Paradise Valley",AZ,85253
1091,"Camelback Bible Church",,"3900 E Stanford Dr ",,"Paradise Valley ",AZ,85253
1136,"Camp Foothills",,"4300 E. Sunrise Drive",,Tucson,AZ,85718
1025,"Camp Iwannago","Thomas Elementary","3330 E. Lockett Ave. ",,Flagstaff,AZ,86004
296,"Campo Bello Elementary School",,"2650 E. Contention Mine",,Phoenix,AZ,85032
1058,"Candeo Traditional School",,"9965 W Calle Lejos",,Peoria,AZ,85383
134,"Canyon Elementary School",,"5490 W Paradise Lane",,Glendale,AZ,85308
840,"Canyon Ridge Elementary",,"17359 W. Surprise Farms Loop N",,Surprise,AZ,85388
205,"Canyon Rim elementary school",,"3045 S. Canyon RIm",,Mesa,AZ,85212
295,"Canyon Springs School, Anthem, AZ",,"42901 N. 45Th Ave.",,Phoenix,AZ,85086
409,"Canyon View Elementary School",,"5725 N. Sabino Canyon Rd.",,Tucson,AZ,85750
597,"Capstone Academy",,"1150 n country club",,tucson,AZ,85176
271,"Carden of Tucson Charter School",,"5260 N. Royal Palm Drive",,Tucson,AZ,85705
13,"CARE Partnership",,"1811 S. Alma School Rd.",,Mesa,AZ,85210
896,"Carlson Elementary",,"5400 S. White Drive",,Chandler,AZ,85249
626,"Carmichael Elementary School",,"701 NE Carmichael",,"Sierra Vista",AZ,85635
454,"Carminati School",,"4001 S. McCallister",,Tempe,AZ,85282
659,"Carol Rae Ranch Elementary",,"3777 E Houston",,Gilbert,AZ,85234
1064,"Carrie Curran Art Studios",,"10636 N. 71st Way, Suite 12",,Scottsdale,AZ,85254
297,"Carson Middle School",,"7777 E. Stella",,Tucson,AZ,85730
433,"Casa Ninos School of Montessori, Inc.",,"8655 E Broadway",,Tucson,AZ,85710
258,"Casas Christian School",,"10801 N La Cholla Blvd",,Tucson,AZ,85742
